loss,val_loss,recon_loss,recon_loss_source,recon_loss_target
206.26755713714306,34.22894356467507,206.26755713714306,206.03863029506314,204.74719592452982
25.011214380926983,19.350087461392743,25.011214380926983,24.98171947126393,25.869823182172286
16.496038074818177,14.600924484000718,16.496038074818177,16.453282928115698,19.06469291456822
13.691384418626233,64.64227318566692,13.691384418626233,13.641956519817242,17.493408624005657
12.281797982666605,13.448291218970432,12.281797982666605,12.229121740984576,16.174645189036436
11.588950900180077,11.771619237158909,11.588950900180077,11.5351154399368,15.67213883473475
11.44293096193892,11.108633466988556,11.44293096193892,11.3855689014096,15.630891904214314
11.02464677044394,11.26532404481872,11.02464677044394,10.971661567687988,15.039004330831467
10.801629826159067,13.710665225982666,10.801629826159067,10.743121378881504,15.449127066014716
10.560387192702875,11.778012902283471,10.560387192702875,10.505103263995421,14.771904764900107
10.419167302250587,11.102924145942877,10.419167302250587,10.362749652274458,14.701102931201595
10.32274702294214,10.557369488329927,10.32274702294214,10.269360314082617,14.395283416331884
10.040291690958078,10.077536772105319,10.040291690958078,9.9864076495006,14.266500609039273
9.97512986261725,10.741381085608616,9.97512986261725,9.921455764682733,14.03159839416834
10.04135296326105,10.227839930983615,10.04135296326105,9.987819546990497,14.24541444717137
9.799487154767967,11.004080788163114,9.799487154767967,9.748055696377708,13.760405688819608
9.89143505482645,9.663723354497233,9.89143505482645,9.841288285270792,13.764609607419164
9.763134449459802,9.699453393289865,9.763134449459802,9.714235406727271,13.576671352555989
9.702197501476164,9.78113570489174,9.702197501476164,9.654738216426479,13.361858359636166
9.577282648398148,10.000112210423493,9.577282648398148,9.531347250642176,13.103379626319093
9.698081502374613,9.831130315449613,9.698081502374613,9.653561384075532,13.069824713649588
9.565416260573155,9.671395640727901,9.565416260573155,9.523452037718238,12.512534439344314
9.527649802213652,10.136336531520875,9.527649802213652,9.486731063151106,12.625639652868486
9.554122833957663,12.407956852400599,9.554122833957663,9.515415051649422,12.484207487968986
9.423076022236346,9.623924499700877,9.423076022236346,9.384523853419621,12.10607590784524
9.44886389976814,9.600785846552572,9.44886389976814,9.411133875015196,12.253765517467734
9.497923225178129,9.442957223939501,9.497923225178129,9.459935104029551,12.36730740631828
9.502474536009226,9.69057401546762,9.502474536009226,9.465832661112168,12.206607617269833
9.327609866212931,9.555950740152154,9.327609866212931,9.291030605542622,11.892207288359423
9.318056529642414,9.357927937152958,9.318056529642414,9.282148165906897,11.886399655162712
9.322943759414384,11.17550661150089,9.322943759414384,9.287901029134751,11.743336957621782
9.285258117163176,9.283715563372146,9.285258117163176,9.25085567363769,11.649052307201705
9.375513648196842,9.246885358794662,9.375513648196842,9.3423687135685,11.744611097606874
9.224717660264051,9.553051310137283,9.224717660264051,9.192578418431498,11.515812740011036
9.403301277195755,9.294709221390653,9.403301277195755,9.371619429063863,11.617794337370842
9.193699714284968,9.227763719795163,9.193699714284968,9.164292897708505,11.175790505911477
9.252654357379996,9.217195692141194,9.252654357379996,9.224446491552179,11.20006878367504
9.15400263114399,9.378684627123116,9.15400263114399,9.130522616492183,10.607800508417734
9.19735883141354,9.254540463124425,9.19735883141354,9.176216017086277,10.37015825045778
9.158882862622981,9.198788351263882,9.158882862622981,9.139896219905708,10.168286542367452
9.189016200406618,9.260974367788016,9.189016200406618,9.170273083890027,10.212725678073937
9.11229100163719,10.594308565470797,9.11229100163719,9.094857586291436,10.069408257032011
9.229292424987989,9.209126917783879,9.229292424987989,9.211233070573662,10.196574616297784
9.108017782324533,9.339847738092596,9.108017782324533,9.091045043460795,9.922012608650912
9.085527481925253,9.47972139248178,9.085527481925253,9.069245895810573,9.885669022256803
9.145212369199946,9.12280104377053,9.145212369199946,9.127470952159953,10.020961058507359
9.062576572191753,9.131145004398567,9.062576572191753,9.046118205228929,9.902262945014433
9.050095845190436,11.16009672023048,9.050095845190436,9.034538292303317,9.751013774861951
9.106461673741839,9.12942506853214,9.106461673741839,9.090768008313308,9.950088538082031
9.037682363419723,9.035629051775972,9.037682363419723,9.02248613109141,9.755520092895159
9.111772470083645,9.098313039984586,9.111772470083645,9.094788031264269,9.956902988793331
9.032502729114826,9.056597902755106,9.032502729114826,9.017597603128628,9.713074194407112
9.03399701476152,9.20535441469555,9.03399701476152,9.018927619800664,9.701922803527465
9.018577538818136,9.024601703832957,9.018577538818136,9.003980261797846,9.640969528170757
9.043194912569456,8.990507074624054,9.043194912569456,9.028547623165181,9.710157789608822
9.012034184472988,9.185329559420751,9.012034184472988,8.997637883891612,9.635628042740038
9.042055412201195,43.82175894808178,9.042055412201195,9.027630278880949,9.66788646050768
8.994701137972822,9.17049260967034,8.994701137972822,8.980489492964974,9.605778169622358
8.982526552276681,9.227375393071451,8.982526552276681,8.968625003711123,9.576845231805866
9.030182680006241,9.138052424123465,9.030182680006241,9.015836217136796,9.603341186596564
8.970540975350364,8.999383749055468,8.970540975350364,8.956679311261658,9.652270672469989
9.01795229009917,9.087709438702293,9.01795229009917,9.003779159401947,9.52005011601707
8.956598074711582,9.094290374724332,8.956598074711582,8.942946106181735,9.461922010634003
9.007019935639509,9.216261406575352,9.007019935639509,8.993049227033843,9.56509662880033
8.955372100264809,9.137556454366889,8.955372100264809,8.941560585488935,9.595442829308178
8.959933859820307,9.057365031281778,8.959933859820307,8.946283060013288,9.49306994108796
8.98306800887928,9.062112441732864,8.98306800887928,8.969702244463244,9.394117826115027
8.977611622500957,8.987364331552804,8.977611622500957,8.96346623788931,9.529439749507327
8.984385444774531,8.984926397150213,8.984385444774531,8.970660693295475,9.538093587363912
8.971913633070066,8.981768281006616,8.971913633070066,8.958221784890988,9.534673957357306
8.910886138252437,8.982330692701103,8.910886138252437,8.897657561181495,9.390340657996463
8.926327612780778,8.936918392654293,8.926327612780778,8.913137285818003,9.411699600137164
